month,relativenumber
2019,1
20-Jan,1
20-Feb,1.019200193
20-Mar,1.038400387
20-Apr,1.05760058
20-May,1.076800774
20-Jun,1.096000967
20-Jul,1.115201161
20-Aug,1.134401354
20-Sep,1.153601547
20-Oct,1.172801741
20-Nov,1.192001934
20-Dec,1.211202128
21-Jan,1.230402321
21-Feb,1.249602515
21-Mar,1.268802708
21-Apr,1.288002901
21-May,1.307203095
21-Jun,1.326403288
21-Jul,1.345603482
21-Aug,1.364803675
21-Sep,1.384003869
21-Oct,1.403204062
21-Nov,1.422404255
21-Dec,1.441604449
22-Jan,1.460804642
22-Feb,1.480004836
22-Mar,1.499205029
22-Apr,1.518405222
22-May,1.537605416
22-Jun,1.556805609
22-Jul,1.576005803
22-Aug,1.595205996
